Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My_1st_Testsuite_Msk,Chrome 119.0.0.0,,,2023-11-22 13:23:03,2023-11-22 13:23:50,47.053s,PASSED
,,,,,,,
Test Cases/JPetStore/My_1st_TestCase_Msk,Chrome 119.0.0.0,,,2023-11-22 13:23:03,2023-11-22 13:23:50,46.779s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-22 13:23:04,2023-11-22 13:23:06,2.421s,PASSED
"navigateToUrl(""https://jpetstore.aspectran.com/catalog/"")",Chrome 119.0.0.0,,,2023-11-22 13:23:06,2023-11-22 13:23:12,5.599s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Fish""))",Chrome 119.0.0.0,,,2023-11-22 13:23:12,2023-11-22 13:23:14,1.889s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 119.0.0.0,,,2023-11-22 13:23:14,2023-11-22 13:23:15,1.589s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Add to Cart""))",Chrome 119.0.0.0,,,2023-11-22 13:23:15,2023-11-22 13:23:17,1.510s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_true_EST-1""), ""2"")",Chrome 119.0.0.0,,,2023-11-22 13:23:17,2023-11-22 13:23:18,0.954s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Update Cart""))",Chrome 119.0.0.0,,,2023-11-22 13:23:18,2023-11-22 13:23:20,2.085s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 119.0.0.0,,,2023-11-22 13:23:20,2023-11-22 13:23:23,3.611s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Login""))",Chrome 119.0.0.0,,,2023-11-22 13:23:23,2023-11-22 13:23:29,5.358s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 13:23:29,2023-11-22 13:23:33,4.188s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Ship to different address_shippingAdd_0f9b79""))",Chrome 119.0.0.0,,,2023-11-22 13:23:33,2023-11-22 13:23:34,0.632s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Zip_billZip""), ""12356"")",Chrome 119.0.0.0,,,2023-11-22 13:23:34,2023-11-22 13:23:35,0.913s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 13:23:35,2023-11-22 13:23:38,3.636s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 13:23:38,2023-11-22 13:23:45,7.193s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Zip_shipZip""), ""1256"")",Chrome 119.0.0.0,,,2023-11-22 13:23:45,2023-11-22 13:23:46,0.949s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 13:23:46,2023-11-22 13:23:47,1.110s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Confirm""))",Chrome 119.0.0.0,,,2023-11-22 13:23:47,2023-11-22 13:23:49,2.005s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-22 13:23:49,2023-11-22 13:23:50,0.723s,PASSED
