Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My_1st_Testsuite_Msk,Chrome 119.0.0.0,,,2023-11-22 10:12:33,2023-11-22 10:12:59,25.825s,PASSED
,,,,,,,
Test Cases/My_1st_TestCase_Msk,Chrome 119.0.0.0,,,2023-11-22 10:12:33,2023-11-22 10:12:59,25.446s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-22 10:12:34,2023-11-22 10:12:36,2.594s,PASSED
"navigateToUrl(""https://jpetstore.aspectran.com/catalog/"")",Chrome 119.0.0.0,,,2023-11-22 10:12:36,2023-11-22 10:12:42,5.358s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Fish""))",Chrome 119.0.0.0,,,2023-11-22 10:12:42,2023-11-22 10:12:43,1.081s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 119.0.0.0,,,2023-11-22 10:12:43,2023-11-22 10:12:44,0.977s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Add to Cart""))",Chrome 119.0.0.0,,,2023-11-22 10:12:44,2023-11-22 10:12:45,1.380s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_true_EST-1""), ""2"")",Chrome 119.0.0.0,,,2023-11-22 10:12:45,2023-11-22 10:12:46,0.797s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Update Cart""))",Chrome 119.0.0.0,,,2023-11-22 10:12:46,2023-11-22 10:12:47,1.238s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 119.0.0.0,,,2023-11-22 10:12:47,2023-11-22 10:12:48,1.383s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Login""))",Chrome 119.0.0.0,,,2023-11-22 10:12:48,2023-11-22 10:12:51,2.264s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 10:12:51,2023-11-22 10:12:52,0.784s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Ship to different address_shippingAdd_0f9b79""))",Chrome 119.0.0.0,,,2023-11-22 10:12:52,2023-11-22 10:12:52,0.799s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Zip_billZip""), ""12356"")",Chrome 119.0.0.0,,,2023-11-22 10:12:52,2023-11-22 10:12:53,0.680s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 10:12:53,2023-11-22 10:12:54,0.860s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 10:12:54,2023-11-22 10:12:55,0.923s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Zip_shipZip""), ""1256"")",Chrome 119.0.0.0,,,2023-11-22 10:12:55,2023-11-22 10:12:56,1.092s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-22 10:12:56,2023-11-22 10:12:57,0.825s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Confirm""))",Chrome 119.0.0.0,,,2023-11-22 10:12:57,2023-11-22 10:12:58,1.372s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-22 10:12:58,2023-11-22 10:12:59,0.635s,PASSED
