Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
My_1st_Testsuite_Msk,Chrome 119.0.0.0,,,2023-11-27 11:38:25,2023-11-27 11:41:44,3m - 18.967s,FAILED
,,,,,,,
Test Cases/JPetStore/My_1st_TestCase_Msk,Chrome 119.0.0.0,,,2023-11-27 11:40:56,2023-11-27 11:41:44,48.409s,FAILED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-27 11:40:56,2023-11-27 11:40:58,1.771s,PASSED
"navigateToUrl(""https://jpetstore.aspectran.com/catalog/"")",Chrome 119.0.0.0,,,2023-11-27 11:40:58,2023-11-27 11:41:00,2.966s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Fish""))",Chrome 119.0.0.0,,,2023-11-27 11:41:00,2023-11-27 11:41:01,0.915s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_FI-SW-01""))",Chrome 119.0.0.0,,,2023-11-27 11:41:01,2023-11-27 11:41:02,0.992s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Add to Cart""))",Chrome 119.0.0.0,,,2023-11-27 11:41:02,2023-11-27 11:41:04,1.363s,PASSED
"setText(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_true_EST-1""), ""2"")",Chrome 119.0.0.0,,,2023-11-27 11:41:04,2023-11-27 11:41:05,0.809s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Update Cart""))",Chrome 119.0.0.0,,,2023-11-27 11:41:05,2023-11-27 11:41:06,1.208s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/a_Proceed to Checkout""))",Chrome 119.0.0.0,,,2023-11-27 11:41:06,2023-11-27 11:41:07,1.354s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Login""))",Chrome 119.0.0.0,,,2023-11-27 11:41:07,2023-11-27 11:41:09,1.488s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/button_Continue""))",Chrome 119.0.0.0,,,2023-11-27 11:41:09,2023-11-27 11:41:09,0.783s,PASSED
"click(findTestObject(""Object Repository/My_1st_OR_MSK/Page_JPetStore Demo/input_Ship to different address_shippingAdd_0f9b79""))",Chrome 119.0.0.0,,,2023-11-27 11:41:09,2023-11-27 11:41:44,34.755s,FAILED
